S. No.,Crash Date,Crash Day,Location,State,LatLong,latitude,longitude,Road Type,Crash Type,Killed,Injured,Vehicle 1,Vehicle/Object 2,Million Plus City
1,2021-12-31,Friday,Alni,Maharashtra,"18.278457450374876, 76.00957388786227",18.278457450374876,76.00957388786227,NH,Head On Collision ,4,0,Car,Tractor,Nil
2,2021-12-31,Friday,Hariharganj,Jharkhand,"24.543681356839087, 84.28057070288547",24.543681356839087,84.28057070288547,NH,Head On Collision ,6,18,Pick Up,Truck,Nil
3,2021-12-30,Thursday,Dabolim,Goa,"15.390068035586195, 73.85497360324335",15.390068035586195,73.85497360324335,NH,Fixed Object Collision,3,2,Car,Divider,Nil
4,2021-12-30,Thursday,Triplicane,Tamil Nadu,"13.067050304037062, 80.27014333317551",13.067050304037062,80.27014333317551,OR,Hit and Run,1,0,Pedestrian,Bus,Chennai
5,2021-12-30,Thursday,PS Salai Junction,Tamil Nadu,"13.039775780916695, 80.26465794801",13.039775780916695,80.26465794801,OR,Head On Collision ,1,1,Two Wheeler,Two Wheeler,Chennai
6,2021-12-30,Thursday,Lampolai,Rajasthan,"26.64362250050694, 74.19299113226057",26.64362250050694,74.19299113226057,NH,Head On Collision ,4,2,Two Wheeler,Car,Nil
7,2021-12-30,Thursday,Tanot ,Rajasthan,"27.793665237757928, 70.35519318244828",27.793665237757928,70.35519318244828,NH,Head On Collision ,2,9,Car,Car,Nil
8,2021-12-30,Thursday,Mettupalayam,Tamil Nadu,"11.299962063279324, 76.94191717015218",11.299962063279324,76.94191717015218,SH,Hit From Side,1,1,Two Wheeler,Two Wheeler,Coimbatore
9,2022-01-01,Saturday,Military Jalipa Cantt,Rajasthan,"25.808661598311467, 71.40488769828872",25.808661598311467,71.40488769828872,NH,Others,1,0,Two Wheeler,Truck,Nil
10,2021-12-31,Friday,Zaheerabad,Telangana,"17.692782870071433, 77.62231729628967",17.692782870071433,77.62231729628967,NH,Head On Collision ,4,0,Two Wheeler,Car,Nil
11,2022-01-01,Saturday,Nagarkurnool,Telangana,"16.48884543363603, 78.3091303972808",16.48884543363603,78.3091303972808,SH,Head On Collision ,2,0,Two Wheeler,Car,Nil
12,2022-01-01,Saturday,Chintapalli,Telangana,"16.526195268882535, 78.59603307218524",16.526195268882535,78.59603307218524,OR,Head On Collision ,2,0,Auto Rickshaw,Bus,Nil
13,2022-01-01,Saturday,Sikar Road,Rajasthan,"27.011963538352493, 75.76932901260889",27.011963538352493,75.76932901260889,NH,Hit and Run,1,0,Pedestrian,Car,Jaipur
14,2022-01-01,Saturday,Pista Chowk,Bihar,"25.188347677151736, 86.97434233075197",25.188347677151736,86.97434233075197,SH,Others,3,0,Two Wheeler,Truck,Nil
15,2022-01-01,Saturday,Sikandarpur,Bihar,"25.242396484247, 86.98888681844828",25.242396484247,86.98888681844828,OR,Head On Collision ,2,4,Two Wheeler,Two Wheeler,Nil
16,2022-01-01,Saturday,Muzaffarnagar,Uttar Pradesh,"29.47257166225623, 77.71737212387585",29.47257166225623,77.71737212387585,SH,Others,2,2,Bus,Truck,Nil
17,2022-01-01,Saturday,Arilova,Andhra Pradesh,"17.76444710552003, 83.31365612724099",17.76444710552003,83.31365612724099,OR,Head On Collision ,3,1,Two Wheeler,Two Wheeler,Vizag
